experiencia,episodio,passos,recompensa_total,recompensa_descontada,sucesso
Labirinto_Treino,7420,30,71.00,-4.818858,1
Labirinto_Treino,7421,84,-23.00,-11.583414,1
Labirinto_Treino,7422,8,93.00,42.612659,1
Labirinto_Treino,7423,12,89.00,24.519166,1
Labirinto_Treino,7424,14,87.00,17.960524,1
Labirinto_Treino,7425,5,96.00,62.171000,1
Labirinto_Treino,7426,33,68.00,-6.222948,1
Labirinto_Treino,7427,59,38.00,-12.671962,1
Labirinto_Treino,7428,13,88.00,21.067249,1
Labirinto_Treino,7429,55,38.00,-13.515206,1
Labirinto_Treino,7430,68,29.00,-9.948556,1
Labirinto_Treino,7431,5,96.00,62.171000,1
Labirinto_Treino,7432,79,14.00,-11.532186,1
Labirinto_Treino,7433,80,5.00,-10.518505,1
Labirinto_Treino,7434,13,88.00,21.067249,1
Labirinto_Treino,7435,1,100.00,100.000000,1
Labirinto_Treino,7436,11,90.00,28.354628,1
Labirinto_Treino,7437,45,52.00,-11.059013,1
Labirinto_Treino,7438,56,25.00,-11.656307,1
Labirinto_Treino,7439,20,81.00,4.859369,1
Labirinto_Treino,7440,63,34.00,-10.380227,1
Labirinto_Treino,7441,48,45.00,-12.390768,1
Labirinto_Treino,7442,22,79.00,2.036089,1
Labirinto_Treino,7443,4,97.00,70.190000,1
Labirinto_Treino,7444,2,99.00,89.000000,1
Labirinto_Treino,7445,48,41.00,-10.816594,1
Labirinto_Treino,7446,26,71.00,-3.119868,1
Labirinto_Treino,7447,3,98.00,79.100000,1
Labirinto_Treino,7448,4,97.00,70.190000,1
Labirinto_Treino,7449,31,70.00,-5.336973,1
Labirinto_Treino,7450,9,92.00,37.351393,1
Labirinto_Treino,7451,13,88.00,21.067249,1
Labirinto_Treino,7452,4,97.00,70.190000,1
Labirinto_Treino,7453,10,91.00,32.616254,1
Labirinto_Treino,7454,69,20.00,-11.622136,1
Labirinto_Treino,7455,76,-3.00,-12.950688,1
Labirinto_Treino,7456,52,33.00,-14.121813,1
Labirinto_Treino,7457,16,85.00,12.648025,1
Labirinto_Treino,7458,25,76.00,-1.225691,1
Labirinto_Treino,7459,28,73.00,-3.603529,1
Labirinto_Treino,7460,33,64.00,-6.964156,1
Labirinto_Treino,7461,3,98.00,79.100000,1
Labirinto_Treino,7462,52,45.00,-9.613389,1
Labirinto_Treino,7463,1,100.00,100.000000,1
Labirinto_Treino,7464,64,9.00,-12.415736,1
